D10;D30;D50;D60;CU;CC;MDD;OMC;CBR
0.15;1;6.5;8.5;56.67;0.78;21.23;6.2;82
0.18;2;10;14;77.78;1.59;20.63;7.8;90
0.15;2;7;10;66.67;2.67;20.55;8.1;82
0.2;3;7.8;11;55;4.09;21.23;7.1;79
0.3;2.2;6;7.6;25.33;2.12;21.16;6.4;66
0.19;0.8;2.2;3.2;16.84;1.05;19.86;8.8;35
0.15;0.54;2;5;33.33;0.39;19.31;8.3;40
0.45;1;1.95;2.9;6.44;0.77;20.23;9;29
0.29;0.9;2.1;3.9;13.45;0.72;19.97;7.8;42
0.14;0.42;2.1;5.1;36.43;0.25;20.23;6.7;43
0.22;0.6;0.9;1.2;5.45;1.36;18.58;10;24
0.12;0.3;0.75;1.3;10.83;0.58;18.49;9.4;17
0.15;0.41;0.85;1.15;7.67;0.97;18.35;9.5;17
0.11;0.24;0.67;1.6;14.55;0.33;18.53;9;23
0.13;0.34;0.8;1.2;9.23;0.74;18.38;9.8;19
0.09;0.13;0.18;0.2;2.22;0.94;16.29;12.3;13
0.09;0.14;0.19;0.22;2.44;0.99;16.62;11.8;14
0.09;0.14;0.2;0.25;2.72;0.85;16.78;12.1;15
0.1;0.16;0.22;0.29;3.05;0.93;17.78;10.8;13
0.1;0.17;0.25;0.31;3.16;0.95;18.09;10.4;13
0.1;0.18;0.25;0.36;3.79;0.95;18.4;15.4;13
0.13;0.18;0.25;0.3;2.31;0.83;17.6;13.1;10
0.11;0.19;0.24;0.32;2.91;1.03;18.6;12.2;13
0.3;1;2.2;2.4;8;1.39;21.9;8.2;24
0.28;0.9;2.3;2.4;8.57;1.21;21.9;8.2;34
0.21;0.48;0.74;0.9;6;1.22;20;12;21
0.19;0.28;0.5;0.58;3.05;0.71;20;11.6;16
0.17;0.27;0.45;0.6;3.53;0.71;20.1;12.4;14
0.12;0.22;0.36;0.47;3.92;0.86;18.1;11.1;8
0.17;0.3;0.73;1.3;7.65;0.41;20.3;11.2;20
0.16;0.21;0.28;0.33;2.06;0.84;19.4;13.4;7
0.15;0.2;0.27;0.45;3;0.59;19.2;14.8;13
0.15;0.21;0.25;0.32;2.13;0.88;19.3;14;11
0.16;0.21;0.28;0.32;1.97;0.88;19.2;13.5;12
0.16;0.2;0.27;0.31;4.5;0.82;19.3;12.3;12
0.14;0.19;0.26;0.29;2.07;0.89;19.5;13.1;7
0.12;0.19;0.22;0.27;4.2;1.06;19;12;14
0.19;0.19;0.25;0.56;4.5;0.35;19.2;14.5;16
0.13;0.2;0.26;0.48;3.69;0.61;19.4;13.8;6
0.13;0.19;0.25;0.51;3.92;0.54;19;14.8;10
0.1;0.17;0.21;0.25;2.6;1.2;18.5;11.9;12
0.12;0.18;0.23;0.27;2.35;1.04;18.6;13.7;12
0.12;0.19;0.24;0.28;2.33;1.07;18.7;14;12
0.13;0.2;0.25;0.3;2.27;0.99;18.8;13.8;12
0.13;0.19;0.25;0.3;2.31;0.93;18.9;12.9;14
0.16;0.22;0.33;0.43;2.74;0.73;19.4;11.6;12
0.16;0.25;0.3;0.52;3.25;0.75;18.7;12.4;6
0.16;0.23;0.4;0.45;2.9;0.76;19;12.5;10
0.17;0.19;0.88;1;5.88;0.2;19.8;12.8;18
0.17;0.18;0.2;0.53;3.12;0.36;19.7;13.2;9
0.13;0.17;0.22;0.25;1.92;0.89;17.8;13.7;11
0.17;0.19;0.92;1.2;7.06;0.18;20.5;11.7;20
0.14;0.19;0.22;0.27;7.96;1.01;18.4;13.5;12
0.23;0.41;0.53;0.73;3.17;1;20.2;11.3;8
0.18;0.44;1.5;1.7;9.71;0.65;21.2;9.7;24
0.16;0.2;0.75;0.8;5;0.3;18.9;13;9
0.15;0.2;0.26;0.3;2.07;0.92;19.1;11.8;8
0.16;0.21;0.9;1.2;7.5;0.22;19.4;11.6;14
0.17;0.22;1.2;1.4;8.48;0.21;19.6;11.2;17
0.15;0.22;0.7;1;6.67;0.32;18.9;11.6;9
0.17;0.25;1;1.3;7.65;0.28;21.2;10;19
0.18;0.27;1.4;1.7;9.71;0.25;20.4;10.1;21
0.17;0.26;1;1.55;9.39;0.26;20.1;11.8;19
0.23;0.3;0.56;0.76;3.3;0.51;20.8;10.3;10
0.16;0.2;0.24;0.27;1.69;0.88;18.3;13.6;9
0.17;0.2;0.8;1.1;6.47;0.2;18.5;14.6;13
0.18;0.21;0.6;0.67;6.5;0.38;20.5;11.2;20
0.16;0.22;0.3;0.37;2.31;0.82;19;11.2;13
0.18;0.26;1.3;1.5;8.33;0.25;20.2;11.4;18
0.18;0.3;0.54;0.71;3.94;0.7;20.4;11.2;12
0.19;0.47;1.1;1.2;6.32;0.97;20.5;12;21
0.2;0.5;0.9;1.3;6.5;0.96;20.8;11;20
0.22;0.55;1;1.5;6.82;0.92;21.4;11;21
0.21;0.57;1.3;1.7;8.1;0.91;21;9.2;29
0.22;0.6;1.3;1.85;8.41;0.88;21.2;9;28
0.28;0.88;1.4;1.8;6.43;1.54;21.6;9.3;24
0.27;0.83;1.9;2.1;9;1.21;21.7;8.9;29
0.33;1.1;2.2;2.6;7.88;1.41;21;8.2;34
0.32;0.9;2.1;2.7;8.44;0.94;21.5;8.3;33
0.3;1;2.2;2.8;9.33;1.19;21.9;8.1;35
0.1;0.14;1.1;1.5;5;0.13;19;11.5;20
0.17;0.12;1.6;2.4;4.12;0.04;18.5;11;27
0.9;1.2;1.7;1.9;2.11;0.84;19.2;11;32
0.07;0.11;1.5;1.8;5.71;0.1;19.6;11;33
0.6;0.9;1.2;1.3;2.17;1.04;20.9;9.5;22
0.6;0.9;1.2;1.5;2.5;0.9;21.4;7.5;23
0.4;0.6;2.2;2.5;6.25;0.36;21.6;6.5;32
0.9;1.6;2;2.4;2.67;1.19;19.5;9.5;26
0.1;0.4;0.7;0.9;9;1.78;18.7;9.5;24
0.7;1.1;1.4;1.6;7.29;1.08;20.7;7.5;32
